datetime, usd, czk
2020.05.28 14:26:38,9347.48346884,224328
2020.05.28 14:27:25,9347.28944876,224328
2020.05.28 14:28:12,9347.65930311,224328
2020.05.28 14:28:59,9346.85544007,224304
2020.05.28 14:29:46,9342.17546206,224208
2020.05.28 14:30:33,9347.28944876,224328
2020.05.28 14:31:20,9344.79709422,224256
2020.05.28 14:32:09,9346.94068500,224304
2020.05.28 14:32:56,9346.30969742,224304
2020.05.28 14:33:42,9344.79709422,224256
2020.05.28 14:34:32,9348.46707247,224352
2020.05.28 14:35:20,9344.44458065,224256
2020.05.28 14:36:08,9346.00428738,224304
2020.05.28 14:36:57,9348.61997338,224352
2020.05.28 14:37:44,9348.61997338,224352
2020.05.28 14:38:31,9353.54650509,224472
2020.05.28 14:39:18,9346.00428738,224304
2020.05.28 14:40:05,9362.07002844,224688
2020.05.28 14:40:52,9348.46707247,224352
2020.05.28 14:41:39,9362.07002844,224688
2020.05.28 14:42:26,9346.00428738,224304
2020.05.28 14:43:13,9366.79459329,224784
2020.05.28 14:44:00,9366.79459329,224784
2020.05.28 14:44:47,9366.79459329,224784
2020.05.28 14:45:34,9346.00428738,224304
2020.05.28 14:46:21,9396.43733270,225504
2020.05.28 14:47:08,9386.02843538,225264
2020.05.28 14:47:56,9362.07002844,224688
2020.05.28 14:48:43,9402.29376243,225648
2020.05.28 14:49:30,9395.47952287,225480
2020.05.28 14:50:18,9395.47952287,225480
2020.05.28 14:51:06,9366.79459329,224784
2020.05.28 14:51:54,9395.47952287,225480
2020.05.28 14:52:41,9401.44926572,225624
2020.05.28 14:53:28,9401.44926572,225624
2020.05.28 14:54:15,9402.29376243,225648
2020.05.28 14:55:02,9406.61490193,225744
2020.05.28 14:55:50,9406.61490193,225744
2020.05.28 14:56:39,9406.10800965,225744
2020.05.28 14:57:27,9415.97034514,225960
2020.05.28 14:58:14,9415.97034514,225960
2020.05.28 14:59:01,9401.44926572,225624
2020.05.28 14:59:48,9421.76861807,226104
2020.05.28 15:00:35,9421.76861807,226104
2020.05.28 15:01:22,9424.11620512,226176
2020.05.28 15:02:09,9431.55798560,226344
2020.05.28 15:02:56,9431.96380641,226344
2020.05.28 15:03:43,9403.95901343,225672
2020.05.28 15:04:32,9432.28504578,226368
2020.05.28 15:05:18,9418.77533306,226032
2020.05.28 15:06:07,9421.76861807,226104
2020.05.28 15:06:54,9424.11620512,226176
2020.05.28 15:07:42,9402.45116154,225648
2020.05.28 15:08:29,9424.11620512,226176
2020.05.28 15:09:16,9402.45116154,225648
2020.05.28 15:10:03,9431.96380641,226344
2020.05.28 15:10:52,9411.17817917,225864
2020.05.28 15:11:39,9393.00191514,225432
2020.05.28 15:12:27,9396.50952671,225504
2020.05.28 15:13:14,9393.00191514,225432
2020.05.28 15:14:01,9393.00191514,225432
2020.05.28 15:14:49,9387.92763824,225288
2020.05.28 15:15:36,9387.92763824,225288
2020.05.28 15:16:23,9402.45116154,225648
2020.05.28 15:17:10,9393.00191514,225432
2020.05.28 15:17:57,9399.39635729,225576
2020.05.28 15:18:44,9388.15916514,225312
2020.05.28 15:19:31,9388.11398452,225312
2020.05.28 15:20:18,9388.11398452,225312
2020.05.28 15:21:05,9388.11398452,225312
2020.05.28 15:21:52,9391.08253001,225384
2020.05.28 15:22:39,9388.11398452,225312
2020.05.28 15:23:26,9395.11365265,225480
2020.05.28 15:24:13,9388.15916514,225312
2020.05.28 15:25:00,9396.57538816,225504
2020.05.28 15:25:47,9396.21698452,225504
2020.05.28 15:26:34,9396.24775721,225504
2020.05.28 15:27:22,9387.16470517,225288
2020.05.28 15:28:09,9398.10378330,225552
2020.05.28 15:28:56,9398.10378330,225552
2020.05.28 15:29:43,9388.11398452,225312
2020.05.28 15:30:30,9396.23543137,225504
2020.05.28 15:31:17,9395.88162415,225480
2020.05.28 15:32:04,9397.14305968,225528
2020.05.28 15:32:51,9397.14305968,225528
2020.05.28 15:33:38,9399.43210031,225576
2020.05.28 15:34:25,9396.88453901,225504
2020.05.28 15:35:12,9395.98529565,225480
2020.05.28 15:35:59,9395.98529565,225480
2020.05.28 15:36:46,9395.98529565,225480
2020.05.28 15:37:34,9405.96790591,225720
2020.05.28 15:38:21,9395.98529565,225480
2020.05.28 15:39:08,9404.69245996,225696
2020.05.28 15:39:56,9405.96790591,225720
2020.05.28 15:40:43,9403.37823117,225672
2020.05.28 15:41:30,9403.49804836,225672
2020.05.28 15:42:17,9403.37823117,225672
2020.05.28 15:43:04,9403.82943428,225672
2020.05.28 15:43:51,9402.97298611,225648
2020.05.28 15:44:38,9405.67443751,225720
2020.05.28 15:45:25,9405.12723308,225720
2020.05.28 15:46:12,9401.55570257,225624
2020.05.28 15:46:58,9404.69245996,225696
2020.05.28 15:47:46,9399.82491441,225576
2020.05.28 15:48:33,9405.67443751,225720
2020.05.28 15:49:20,9398.83367973,225552
2020.05.28 15:50:08,9403.37823117,225672
2020.05.28 15:50:55,9398.83367973,225552
2020.05.28 15:51:42,9405.12723308,225720
2020.05.28 15:52:29,9398.53214798,225552
2020.05.28 15:53:16,9398.83367973,225552
2020.05.28 15:54:03,9399.10879873,225576
2020.05.28 15:54:51,9398.53214798,225552
2020.05.28 15:55:37,9401.55570257,225624
2020.05.28 15:56:24,9397.85173507,225528
2020.05.28 15:57:11,9399.88792309,225576
2020.05.28 15:57:58,9401.34276693,225624
2020.05.28 15:58:45,9395.85997326,225480
2020.05.28 15:59:32,9398.72453597,225552
2020.05.28 16:00:19,9399.88792309,225576
2020.05.28 16:01:07,9401.34276693,225624
2020.05.28 16:01:55,9405.34854820,225720
2020.05.28 16:02:42,9399.88792309,225576
2020.05.28 16:03:29,9415.12347916,225960
2020.05.28 16:04:17,9415.12347916,225960
2020.05.28 16:05:05,9405.34854820,225720
2020.05.28 16:05:54,9425.76813797,226200
2020.05.28 16:06:41,9425.76813797,226200
2020.05.28 16:07:29,9433.60025318,226392
2020.05.28 16:08:16,9442.34526119,226608
2020.05.28 16:09:03,9442.34526119,226608
2020.05.28 16:09:50,9453.09326938,226872
2020.05.28 16:10:37,9453.09326938,226872
2020.05.28 16:11:24,9433.60025318,226392
2020.05.28 16:12:11,9415.12347916,225960
2020.05.28 16:12:58,9466.92883511,227184
2020.05.28 16:13:45,9415.12347916,225960
2020.05.28 16:14:32,9422.80863245,226128
2020.05.28 16:15:19,9442.34526119,226608
2020.05.28 16:16:07,9456.09534952,226944
2020.05.28 16:16:54,9454.99120675,226896
2020.05.28 16:17:42,9454.99120675,226896
2020.05.28 16:18:30,9454.99120675,226896
2020.05.28 16:19:17,9454.34776759,226896
2020.05.28 16:20:04,9452.99613789,226848
2020.05.28 16:20:54,9452.95742119,226848
2020.05.28 16:21:41,9451.89022607,226824
2020.05.28 16:22:29,9451.89022607,226824
2020.05.28 16:23:16,9454.99120675,226896
2020.05.28 16:24:03,9462.58205576,227088
2020.05.28 16:24:50,9454.99120675,226896
2020.05.28 16:25:38,9463.76346223,227112
2020.05.28 16:26:25,9463.76346223,227112
2020.05.28 16:27:13,9466.30461693,227184
2020.05.28 16:28:00,9451.89022607,226824
2020.05.28 16:28:48,9476.64672660,227424
2020.05.28 16:29:35,9452.99613789,226848
2020.05.28 16:30:23,9463.76346223,227112
2020.05.28 16:31:10,9463.76346223,227112
2020.05.28 16:31:57,9452.74440084,226848
2020.05.28 16:32:44,9474.20320639,227376
2020.05.28 16:33:32,9445.66064816,226680
2020.05.28 16:34:19,9445.66064816,226680
2020.05.28 16:35:08,9445.83034557,226680
2020.05.28 16:35:55,9445.66064816,226680
2020.05.28 16:36:42,9442.94416590,226608
2020.05.28 16:37:29,9441.51903494,226584
2020.05.28 16:38:17,9431.65991061,226344
2020.05.28 16:39:04,9474.20320639,227376
2020.05.28 16:39:50,9445.66064816,226680
2020.05.28 16:40:37,9430.91230660,226320
2020.05.28 16:41:25,9434.72300629,226416
2020.05.28 16:42:12,9434.72300629,226416
2020.05.28 16:42:59,9431.65991061,226344
2020.05.28 16:43:46,9430.91230660,226320
2020.05.28 16:44:33,9430.91230660,226320
2020.05.28 16:45:29,9431.65991061,226344
2020.05.28 16:46:16,9436.54003825,226464
2020.05.28 16:47:05,9425.74576844,226200
2020.05.28 16:47:52,9425.74576844,226200
2020.05.28 16:48:39,9425.74576844,226200
2020.05.28 16:49:26,9429.16410451,226296
2020.05.28 16:50:14,9434.72300629,226416
2020.05.28 16:51:01,9437.83715004,226488
2020.05.28 16:51:48,9429.66837454,226296
2020.05.28 16:52:35,9437.24389905,226488
2020.05.28 16:53:23,9439.16315470,226536
2020.05.28 16:54:11,9452.32768748,226848
2020.05.28 16:54:59,9425.74576844,226200
2020.05.28 16:55:46,9452.28608716,226848
2020.05.28 16:56:33,9452.78249238,226848
2020.05.28 16:57:22,9452.28608716,226848
2020.05.28 16:58:10,9454.26838262,226896
2020.05.28 16:58:58,9454.92454863,226896
2020.05.28 16:59:46,9454.92454863,226896
2020.05.28 17:00:34,9455.42378590,226920
2020.05.28 17:01:23,9453.61716257,226872
2020.05.28 17:02:09,9455.42378590,226920
2020.05.28 17:02:59,9457.45384218,226968
2020.05.28 17:03:47,9463.66296106,227112
2020.05.28 17:04:34,9457.28138164,226968
2020.05.28 17:05:22,9457.28138164,226968
2020.05.28 17:06:12,9457.28138164,226968
2020.05.28 17:07:00,9442.12942418,226608
2020.05.28 17:07:47,9455.42378590,226920
2020.05.28 17:08:34,9439.18795576,226536
2020.05.28 17:09:22,9437.46227920,226488
2020.05.28 17:10:09,9439.25209617,226536
2020.05.28 17:10:56,9439.25209617,226536
2020.05.28 17:11:43,9439.25209617,226536
2020.05.28 17:12:31,9436.38590613,226464
2020.05.28 17:13:18,9439.27748932,226536
2020.05.28 17:14:06,9435.33577905,226440
2020.05.28 17:14:53,9432.93352159,226368
2020.05.28 17:15:42,9437.14136446,226488
